read_count,title,update_time
13546,A股进口替代50强出炉,05-02 10:34
188,"一起举报那个""满融满仓中芯国际""，刷屏可耻，把他封了",05-07 11:13
116,明天的一季度业绩不知道什么样子,05-07 11:34
1042,去年以来已经涨的够多了，现可以离场了，大盘上20天线中芯跌破20天线，君子不立危,04-25 11:35
18,+2%收盘，明天可以起飞了,05-07 01:17
17,"""满融满仓中芯国际""，是托，大家一起举报",05-07 01:16
79,港股不起来，他一辈子不会动,05-07 09:38
68,一季报看着有问题了,05-07 12:31
814,前天收盘前没买到赤峰黄金，今天转战抄底拉升鹏欣资源必须封板！！！,03-28 08:43
10002,中芯阴跌不止，大家还坚守吗？,03-13 01:15
51,股,05-07 09:20
203,欢迎大主播陆老割进场,05-06 07:10
90,你们有谁在108元买的？我在108买的。现在补又不想补。割肯定不割了。耐心等待等,05-07 12:03
501,假设谜圆崩掉三成，金价至少上涨一倍，晓程科技在黄金储量和产量都不变情况下股价就能,05-06 09:01
1486,我是一个光明磊落的人，以前所有预测错误的贴子全部保留，以警醒自己。错误的预测主要,05-07 07:04
247,今天的最佳买点出现了,05-07 09:51
116,能随便说说么？再大的利好也刺激不了你，若能全年保持每天涨一个点也不错，只要你不拉,05-07 11:27
85,股价创10日新高，资金确是流出状态，你们觉得是主力边卖边拉还是主力边收边拉？,05-07 10:19
50,一手好牌打稀烂!,05-07 10:50
60,没有一次不高开低走,05-07 09:38
43,饨刀子割肉,05-07 10:52
13596,激进调仓！6只基金重仓股“大换血” AI硬件化路线图曝光,04-30 08:10
57,那帮人就会拉银行稳大盘了,05-07 10:38
37,f物一个,05-07 10:45
70,中芯国际5月起航，相信你可以的,05-07 10:04
51,磨叽七个月了。没戏了。都跑了。,05-07 10:40
605,中芯国际今天收阳线。,04-30 08:14
51,寒又涨了130元。呜呜,05-07 10:16
43,一季度是盈利的吗？,05-07 10:20
54,破100,05-07 09:25
36,海市蜃楼,05-07 10:04
44,怎么都不涨。,05-07 09:45
46,拖累整个科创50,05-07 09:50
38,啊，你个。,05-07 09:53
40,高开低走，大A永恒不变的主题,05-07 09:51
39,真nm小可爱，这票废了？,05-07 09:50
47,快跑，大家一定要听话。,05-07 09:49
49,非常漂亮，高开低走，加油加油加油,05-07 09:46
550,大家有没有看华为建厂的事情，是不是以后不需要中芯国际了,05-06 11:17
381,中芯国际，一切一切的科技最终都要中芯国际出品！,05-06 03:34
250,一季报有利空，主力出货，破80再看吧,05-06 04:41
187,今天买了点底仓。明天继续加。这波看98,05-06 07:25
408,有人建议剔除....全村唯一的希望，不知道你们在想啥！拿住,05-06 02:35
258,中芯国际什么时候发布一季报，规定的时间都过了,05-06 11:08
2199,旋极信息旗下控股子公司旋极星源也是IP授权商。技术也相当厉害。旋极信息既有软件又,05-06 03:49
15897,A股半导体行业“盈利王”  罕见易主！,05-06 06:46
1318,既然我都认为趋势开始上升了，那还有什么可怕的呢？呵呵。买就是了。,04-16 03:03
3488,要做好突破千元的思想准备！,02-19 09:44
752,已加仓，看120,05-04 09:36
378,汤姆猫算正宗鸿蒙概念吧？！,05-06 08:53
101,垃圾票啊99成本放我出来啊,05-06 01:12
124,这票真是个笑话，韭菜池子,05-06 07:51
176,骂不动了，你们上吧，继续躺尸三年。。。这家伙补一次套一次，后年能给解套了。。解套,05-06 01:46
321,中芯国际:港股公告:证券变动月报表,05-06 06:08
2409,向“新”发力 提质筑基——科创板公司2024年度经营业绩概览,04-30 10:42
134,中芯玩了国际还有希望吗？大家谈谈吧。,05-06 03:58
2327,别只知道一个劲地骂！中芯是调控大盘的股票，也是调控科创板和半导体板块的股票，科创,05-06 02:02
269,主力到底卖完了没有，有本事一辈子都别进来,05-06 01:51
223,今天上影线，明天来个低开高走下影线。配合技术指标，后天拉升？尾盘公布业绩。。。。,05-06 02:21
123,主力净流出近1个亿，减仓为主,05-06 02:29
488,最近手里的股票涨停不断,04-30 01:08
